calBP,PrDens,lo,hi,logFit2,PhaseID,CompID,BRMspd,MeanFCRArea
8400,0.012514262265699,0.004633714274971,0.021780105312395,0.022803771634758,Expansion,Component II,0.010132597706,0.56
8399,0.012464631300605,0.004687473437397,0.02192781410762,0.022805378994906,Expansion,Component II,0.0100686913064,0.56
8398,0.012415089406792,0.004745952528515,0.022034101195774,0.022806989206006,Expansion,Component II,0.010005461018887,0.56
8397,0.012365643001188,0.00483489802228,0.022162091350031,0.022808602273021,Expansion,Component II,0.009942759301152,0.56
8396,0.012316298512157,0.004861649725925,0.022309574943704,0.022810218200924,Expansion,Component II,0.009880495582006,0.56
8395,0.012267062383964,0.004944393584556,0.022454696965556,0.022811836994694,Expansion,Component II,0.009818597295459,0.56
8394,0.012175890457042,0.005080490490644,0.022679956073476,0.022813458659321,Expansion,Component II,0.009757098892332,0.56
8393,0.012082672610917,0.005181426600503,0.022987386589061,0.022815083199801,Expansion,Component II,0.009695967810205,0.56
8392,0.011994013873639,0.005285506382126,0.02314325549715,0.02281671062114,Expansion,Component II,0.009635152915139,0.56
8391,0.0119066155338,0.005453496253841,0.023405143858753,0.022818340928351,Expansion,Component II,0.009574723555936,0.56
8390,0.011820531124713,0.005647529873613,0.023644770792839,0.022819974126456,Expansion,Component II,0.009514655783376,0.56
8389,0.011617322276996,0.006029822398392,0.024373901826926,0.022821610220486,Expansion,Component II,0.009454835992616,0.56
8388,0.01143082727795,0.006284306825022,0.024918552236666,0.02282324921548,Expansion,Component II,0.009395281163157,0.56
8387,0.011244944784376,0.006687576986507,0.025577352085554,0.022824891116485,Expansion,Component II,0.009336008824097,0.56
8386,0.011068022567176,0.006968800958433,0.02591518060577,0.022826535928556,Expansion,Component II,0.009277036874538,0.56
8385,0.010901053928746,0.007340758912657,0.026362245404476,0.022828183656758,Expansion,Component II,0.009218383414087,0.56
8384,0.01073016240928,0.007693625449019,0.027063788267132,0.022829834306163,Expansion,Component II,0.009159807226873,0.56
8383,0.010577070307412,0.007990579721549,0.027597532567401,0.022831487881853,Expansion,Component II,0.009101311490379,0.56
8382,0.010443996103436,0.008187234689905,0.028278186984963,0.022833144388917,Expansion,Component II,0.009042899400478,0.56
8381,0.010333396433597,0.008458436974406,0.028681184648296,0.022834803832454,Expansion,Component II,0.008984574167373,0.56
8380,0.010247974806587,0.008811462020235,0.029087725094025,0.022836466217569,Expansion,Component II,0.008926339011403,0.56
8379,0.010174521771335,0.008931994299193,0.02953557030063,0.022838131549378,Expansion,Component II,0.008867959181577,0.56
8378,0.010120652167432,0.009006506955557,0.030034126748405,0.022839799833005,Expansion,Component II,0.008809437754021,0.56
8377,0.010088224585743,0.009039855276659,0.030357914440046,0.022841471073582,Expansion,Component II,0.008750777777587,0.56
8376,0.010079246229227,0.008984467537872,0.030778765046623,0.02284314527625,Expansion,Component II,0.008691982270364,0.56
8375,0.010095875512602,0.009233899753909,0.031242019438954,0.022844822446158,Expansion,Component II,0.008633054216173,0.56
8374,0.010157058292235,0.00958655802437,0.031599328508922,0.022846502588464,Expansion,Component II,0.00857402551819,0.56
8373,0.010251025994986,0.009687307314478,0.03181735601491,0.022848185708334,Expansion,Component II,0.00851490633661,0.56
8372,0.010375523869161,0.009804451935821,0.032131451193545,0.022849871810945,Expansion,Component II,0.008455706755577,0.56
8371,0.010543463866248,0.009953586599985,0.032426622687816,0.022851560901479,Expansion,Component II,0.008396436766299,0.56
8370,0.010751468637428,0.009829070439389,0.032520558299075,0.022853252985129,Expansion,Component II,0.008337106251083,0.56
8369,0.010984257647394,0.010131132568699,0.032912624957381,0.022854948067096,Expansion,Component II,0.008277892786163,0.56
8368,0.011255049588617,0.010545690073282,0.033158596166721,0.022856646152591,Expansion,Component II,0.008218824148592,0.56
8367,0.011570789705494,0.010516843007438,0.033515303116305,0.022858347246831,Expansion,Component II,0.00815992739405,0.56
8366,0.011945027275107,0.010446288440997,0.033700025939553,0.022860051355043,Expansion,Component II,0.008101228619215,0.56
8365,0.012358590733162,0.010653466950704,0.033884102624494,0.022861758482464,Expansion,Component II,0.008042783837252,0.56
8364,0.012642292772017,0.010652118845815,0.034058487150712,0.022863468634339,Expansion,Component II,0.007984547399166,0.56
8363,0.012947033325076,0.010616138697536,0.034351988007278,0.02286518181592,Expansion,Component II,0.007926535481202,0.56
8362,0.013272991868991,0.010713608590151,0.034220400488221,0.022866898032469,Expansion,Component II,0.007868763259418,0.56
8361,0.013620212337453,0.010806129429682,0.034408077747607,0.022868617289258,Expansion,Component II,0.007811244886057,0.56
8360,0.013988583187039,0.010784816908795,0.034356718108574,0.022870339591566,Expansion,Component II,0.007753993480755,0.56
8359,0.014033076553285,0.010822948330731,0.034346132270439,0.022872064944681,Expansion,Component II,0.007696633580087,0.56
8358,0.014077796712583,0.010861344941355,0.034381682110869,0.022873793353902,Expansion,Component II,0.007639167338206,0.56
8357,0.0141227421003,0.010900769810653,0.034416871891905,0.022875524824532,Expansion,Component II,0.007581596857258,0.56
8356,0.014167911115664,0.010940415827606,0.034451702010361,0.022877259361889,Expansion,Component II,0.007523924188475,0.56
8355,0.01421330212165,0.010980281124498,0.034486172927458,0.022878996971295,Expansion,Component II,0.007466151333301,0.56
8354,0.01421330212165,0.010980281124498,0.034486172927458,0.022880737658082,Expansion,Component II,0.007408038674881,0.56
8353,0.01421330212165,0.010980281124498,0.034486172927458,0.022882481427593,Expansion,Component II,0.007349595010573,0.56
8352,0.01421330212165,0.010980281124498,0.034486172927458,0.022884228285177,Expansion,Component II,0.007290829642957,0.56
8351,0.016434294916908,0.012199426470313,0.030587963004029,0.022885978236194,Expansion,Component II,0.007231752378881,0.56
8350,0.016503179659391,0.012316656664393,0.03067011917029,0.022887731286013,Expansion,Component II,0.007172373522491,0.56
