calBP,PrDens,PerCap,lo,hi,logFit3,PhaseID,CompID,BRMspd,MeanFCRArea
3400,0.11133478,,0.055790041,0.140266008,0.119834337,Expansion,Component III,0.020636205,1.54
3399,0.111614335,0.002507791,0.056923672,0.141533805,0.119840611,Expansion,Component III,0.020604667,1.54
3398,0.111780921,0.001491407,0.057492214,0.142297218,0.119846901,Expansion,Component III,0.020571717,1.54
3397,0.11216246,0.00340746,0.058582282,0.143411596,0.11985321,Expansion,Component III,0.020537309,1.54
3396,0.112580878,0.003723527,0.05937306,0.144799594,0.119859536,Expansion,Component III,0.020502059,1.54
3395,0.113167795,0.005199743,0.060086198,0.145448977,0.11986588,Expansion,Component III,0.020465816,1.54
3394,0.113634138,0.004112347,0.061245362,0.14662173,0.119872242,Expansion,Component III,0.020429121,1.54
3393,0.114198919,0.004957861,0.061993207,0.14746161,0.119878622,Expansion,Component III,0.020392547,1.54
3392,0.114437673,0.002088498,0.062472704,0.148429343,0.11988502,Expansion,Component III,0.020357098,1.54
3391,0.114924735,0.004247106,0.06293677,0.150230881,0.119891436,Expansion,Component III,0.020322195,1.54
3390,0.115412119,0.004231931,0.064179575,0.152013655,0.119897869,Expansion,Component III,0.020287685,1.54
3389,0.115660275,0.002147865,0.065004702,0.152455665,0.119904321,Expansion,Component III,0.020253354,1.54
3388,0.1161532,0.004252776,0.066354742,0.153261697,0.119910791,Expansion,Component III,0.020219024,1.54
3387,0.116639469,0.004177705,0.067107268,0.153809157,0.119917279,Expansion,Component III,0.020183901,1.54
3386,0.11687536,0.002020353,0.067158171,0.154184764,0.119923786,Expansion,Component III,0.020148587,1.54
3385,0.117440842,0.004826668,0.068121378,0.154938241,0.119930311,Expansion,Component III,0.020113669,1.54
3384,0.117671554,0.001962565,0.06837938,0.155483106,0.119936854,Expansion,Component III,0.020078937,1.54
3383,0.117894648,0.001894114,0.068748988,0.155688257,0.119943415,Expansion,Component III,0.020044443,1.54
3382,0.118315263,0.003561367,0.069514621,0.156241174,0.119949995,Expansion,Component III,0.020010066,1.54
3381,0.118511525,0.001657434,0.070015455,0.15702341,0.119956593,Expansion,Component III,0.019975778,1.54
3380,0.118869957,0.003019882,0.070717928,0.15797372,0.11996321,Expansion,Component III,0.019941389,1.54
3379,0.119008982,0.001168872,0.071784459,0.157597682,0.119969845,Expansion,Component III,0.01990731,1.54
3378,0.119146422,0.001154207,0.072139455,0.157691253,0.119976499,Expansion,Component III,0.019873158,1.54
3377,0.11920095,0.000457546,0.073218552,0.157666979,0.119983172,Expansion,Component III,0.019838948,1.54
3376,0.119408268,0.001737725,0.074052145,0.158227208,0.119989864,Expansion,Component III,0.019805055,1.54
3375,0.119296276,-0.000938332,0.074469947,0.159235663,0.119996574,Expansion,Component III,0.019771937,1.54
3374,0.119427825,0.001102102,0.075526503,0.159729722,0.120003303,Expansion,Component III,0.019739577,1.54
3373,0.119519817,0.000769978,0.075971019,0.159934382,0.120010051,Expansion,Component III,0.019708278,1.54
3372,0.119573386,0.000448094,0.076439433,0.159654139,0.120016818,Expansion,Component III,0.019677665,1.54
3371,0.119586292,0.000107932,0.07720819,0.159993777,0.120023604,Expansion,Component III,0.019647345,1.54
3370,0.119547998,-0.00032027,0.077447562,0.160695286,0.120030409,Expansion,Component III,0.019617328,1.54
3369,0.119491074,-0.000476276,0.07822277,0.160369549,0.120037233,Expansion,Component III,0.019587311,1.54
3368,0.119502703,9.73E-05,0.078279598,0.161790988,0.120044076,Expansion,Component III,0.019557297,1.54
3367,0.119294428,-0.00174437,0.078118012,0.162632439,0.120050938,Expansion,Component III,0.019526987,1.54
3366,0.119085424,-0.001753538,0.077918169,0.163868951,0.12005782,Expansion,Component III,0.01949647,1.54
3365,0.118894565,-0.001603988,0.077928953,0.164731095,0.120064721,Expansion,Component III,0.019465764,1.54
3364,0.118603794,-0.002448623,0.078043395,0.165008844,0.120071642,Expansion,Component III,0.019435032,1.54
3363,0.118435812,-0.001417334,0.077744687,0.16567871,0.120078581,Expansion,Component III,0.019404474,1.54
3362,0.11822506,-0.001781043,0.077499638,0.166788879,0.120085541,Expansion,Component III,0.019373907,1.54
3361,0.118109661,-0.00097657,0.077311749,0.16680479,0.120092519,Expansion,Component III,0.019343254,1.54
3360,0.118023194,-0.00073236,0.077129228,0.166781799,0.120099518,Expansion,Component III,0.01931264,1.54
3359,0.118285701,0.002221726,0.077426209,0.166387301,0.120106536,Expansion,Component III,0.0192822,1.54
3358,0.118389659,0.000878487,0.077188179,0.16595246,0.120113573,Expansion,Component III,0.019251467,1.54
3357,0.118551598,0.001366913,0.077738457,0.165793221,0.120120631,Expansion,Component III,0.019221588,1.54
3356,0.118786371,0.001978389,0.077283064,0.164512576,0.120127708,Expansion,Component III,0.019192622,1.54
3355,0.119087633,0.002532956,0.077535891,0.16485496,0.120134805,Expansion,Component III,0.019165537,1.54
3354,0.119269424,0.001525361,0.077536153,0.165166512,0.120141922,Expansion,Component III,0.019140913,1.54
3353,0.119683265,0.003463795,0.078002311,0.165708971,0.120149059,Expansion,Component III,0.019118,1.54
3352,0.119570222,-0.000944963,0.077917566,0.165223847,0.120156216,Expansion,Component III,0.019096401,1.54
3351,0.124295036,0.038754235,0.085087164,0.15193931,0.120163393,Expansion,Component III,0.019076102,1.54
3350,0.124537335,0.001947482,0.085367594,0.15240315,0.12017059,Expansion,Component III,0.019055569,1.54
3349,0.124777634,0.001927679,0.085596349,0.153097624,0.120177807,Expansion,Component III,0.019034806,1.54
3348,0.125016174,0.001909896,0.085814862,0.153587483,0.120185045,Expansion,Component III,0.019013151,1.54
3347,0.125250398,0.001871799,0.086019073,0.154009761,0.120192302,Expansion,Component III,0.01899061,1.54
3346,0.125479792,0.001829808,0.085998037,0.154492528,0.120199581,Expansion,Component III,0.018965945,1.54
3345,0.12570114,0.001762455,0.085920767,0.155002706,0.120206879,Expansion,Component III,0.018939999,1.54
3344,0.125916303,0.001710241,0.086156541,0.155200542,0.120214198,Expansion,Component III,0.018912343,1.54
3343,0.126121853,0.001631104,0.085883595,0.155456377,0.120221538,Expansion,Component III,0.018882658,1.54
3342,0.12632257,0.001590188,0.085642154,0.15616518,0.120228898,Expansion,Component III,0.018851766,1.54
3341,0.126512804,0.001504804,0.085540254,0.156876767,0.120236278,Expansion,Component III,0.018819306,1.54
3340,0.126687474,0.001379699,0.085442963,0.157116358,0.12024368,Expansion,Component III,0.018785706,1.54
3339,0.126851208,0.00129159,0.085347166,0.157432565,0.120251102,Expansion,Component III,0.018751001,1.54
3338,0.126995714,0.001138531,0.085243942,0.157687026,0.120258545,Expansion,Component III,0.018715566,1.54
3337,0.127115173,0.000940208,0.085140673,0.157874778,0.120266008,Expansion,Component III,0.018679431,1.54
3336,0.127214867,0.000783974,0.085012572,0.158059674,0.120273493,Expansion,Component III,0.018642632,1.54
3335,0.127291757,0.000604229,0.084529628,0.158287313,0.120280998,Expansion,Component III,0.018605516,1.54
