calBP,PrDens,lo,hi,logFit,CRR,MAT,NPP,CompID,PhaseID
12450,0,0.071802415,0.226015147,0.213956414,485.1573204,18.14978475,826.2194776,Component I,Expansion
12400,0,0.139802162,0.341113903,0.222381971,456.1251682,18.23021332,783.9082378,Component I,Expansion
12350,0,0.141525846,0.351520255,0.231089901,445.6510201,18.59382151,768.4419663,Component I,Expansion
12300,0,0.130155504,0.330779789,0.240085744,453.6800551,18.22513886,780.3073684,Component I,Expansion
12250,0,0.130076665,0.331716188,0.249374848,510.2776121,17.65493073,862.1771439,Component I,Expansion
12200,0,0.130672152,0.335661307,0.258962329,478.0764496,18.0493515,815.9749532,Component I,Expansion
12150,0,0.138950861,0.350433091,0.268853029,461.6601293,17.99061635,792.0379013,Component I,Expansion
12100,0,0.148596636,0.377280247,0.279051499,446.7071871,18.18759694,770.0063979,Component I,Expansion
12050,0,0.158835322,0.393262301,0.289561972,439.1744496,18.38354462,758.824614,Component I,Expansion
12000,0,0.168772538,0.41491185,0.300388294,502.7676674,17.96110087,851.4900454,Component I,Expansion
11950,0.000576583,0.1953859,0.425083723,0.311533941,457.0904395,18.36282054,785.3281648,Component I,Expansion
11900,0.0027193,0.213004228,0.454617332,0.323001944,445.195948,18.57139119,767.7675593,Component I,Expansion
11850,0.008854492,0.215660405,0.478500295,0.334794872,435.0950964,18.69368835,752.7457343,Component I,Expansion
11800,0.048457338,0.241466147,0.468590802,0.34691479,439.3460003,18.52273265,759.079891,Component I,Expansion
11750,0.127924535,0.256670048,0.494114592,0.359363227,453.8495384,18.86243398,780.5571517,Component I,Expansion
11700,0.292875652,0.268454765,0.510679531,0.372141149,436.4584272,18.98152222,754.7791444,Component I,Expansion
11650,0.449532502,0.267019343,0.537800105,0.385248903,479.4530639,18.54180939,817.970397,Component I,Expansion
11600,0.656335233,0.282507191,0.546614501,0.398686216,447.9151338,19.07478841,771.7943065,Component I,Expansion
11550,0.84174915,0.287461666,0.569927818,0.412452124,423.9416151,19.17471842,736.0409873,Component I,Expansion
11500,0.847379619,0.286473457,0.572513405,0.426544981,437.1037115,19.38888285,755.7409454,Component I,Expansion
11450,0.889771284,0.288143555,0.570549592,0.440962404,489.8533888,18.66630697,832.9871801,Component I,Expansion
11400,0.888080664,0.306436024,0.576475234,0.455701243,441.1315226,19.35568614,761.735122,Component I,Expansion
11350,0.821129965,0.327246926,0.598637287,0.470757592,417.6176777,19.46105367,726.5144221,Component I,Expansion
11300,0.668987444,0.332024269,0.633286166,0.486126732,501.892124,18.63000214,850.2406227,Component I,Expansion
11250,0.401606535,0.367585031,0.644370066,0.501803123,421.783234,19.70869995,732.7940342,Component I,Expansion
11200,0.362517975,0.41020464,0.654260432,0.517780397,422.6300697,19.39809835,734.0685233,Component I,Expansion
11150,0.580466422,0.430263125,0.684365136,0.534051353,445.2346314,19.37538818,767.8248952,Component I,Expansion
11100,0.784792965,0.435137859,0.7353921,0.550607927,461.1162563,19.11573273,791.2403923,Component I,Expansion
11050,0.915181906,0.480379099,0.762895259,0.567441214,482.8247988,18.85603129,822.8501301,Component I,Expansion
11000,0.96289358,0.491985467,0.819958953,0.584541457,469.4320969,18.76269368,803.4029304,Component I,Expansion
10950,0.977057089,0.49007105,0.806338152,0.601898081,454.672478,19.19547333,781.7695947,Component I,Expansion
10900,0.982182886,0.468947698,0.775810532,0.61949966,477.1730549,18.71521067,814.6644638,Component I,Expansion
10850,1.010522771,0.462839824,0.784344747,0.637333976,460.5858755,19.07950002,790.4623901,Component I,Expansion
10800,1.03183641,0.477737235,0.808062596,0.655388023,484.6603342,18.49470815,825.5020142,Component I,Expansion
10750,0.894254168,0.509395695,0.817239528,0.67364805,463.8999284,18.94986023,795.3192007,Component I,Expansion
10700,0.811989911,0.525709376,0.859907003,0.692099566,463.6157266,19.2666804,794.9031161,Component I,Expansion
10650,0.899923672,0.548958366,0.901212509,0.710727427,473.1177016,19.2324295,808.7719616,Component I,Expansion
10600,0.929485452,0.565408949,0.92764838,0.72951583,477.9087073,18.69691834,815.731681,Component I,Expansion
10550,0.719077498,0.591706263,0.932678694,0.748448404,492.7295461,18.84408407,837.1217235,Component I,Expansion
10500,0.571602464,0.611114891,0.977923704,0.767508222,439.8289435,19.13704742,759.7983813,Component I,Expansion
10450,0.649324045,0.628298652,1.002047737,0.786677889,468.876975,18.88581248,802.5931134,Component I,Expansion
10400,0.817357894,0.644994701,1.018721606,0.805939608,468.8102888,18.77596018,802.4958108,Component I,Expansion
10350,1.041357743,0.651077155,1.036992339,0.825275214,439.2328623,19.1362561,758.9115386,Component I,Expansion
10300,1.149810253,0.65141665,1.057094647,0.844666263,429.0800515,19.29481496,743.7522757,Component I,Expansion
10250,0.955064643,0.679156224,1.046334267,0.864094102,473.7769354,18.91476512,809.7309207,Component I,Expansion
10200,0.515571728,0.738646575,1.056818926,0.883539936,417.8529005,19.43078094,726.8694854,Component I,Expansion
10150,0.401459537,0.775209224,1.119003472,0.902984898,481.3663829,19.3127533,820.7407828,Component I,Expansion
10100,0.676430639,0.792129629,1.150338933,0.922410104,430.8183867,19.5179425,746.3550575,Component I,Expansion
10050,0.751496294,0.792164748,1.163795294,0.941796795,444.0013055,19.41431539,765.9961549,Component I,Expansion
10000,0.663035323,0.776905468,1.162911399,0.961126316,411.6238141,19.75360362,717.4480894,Component I,Intensification
9950,0.674087338,0.781054898,1.163369609,0.980380244,466.0384025,18.96269704,798.4475086,Component I,Intensification
9900,0.786973298,0.826804873,1.169319652,0.999540458,417.2176358,19.80943624,725.9104409,Component I,Intensification
9850,0.904962719,0.851854833,1.225422803,1.018589189,475.143115,18.99167938,811.7169076,Component I,Intensification
9800,0.935261899,0.845025714,1.264191876,1.037509071,454.4060233,18.93713104,781.3770976,Component I,Intensification
9750,0.879641445,0.85874761,1.274221256,1.056283259,451.8566877,19.19519165,777.6183236,Component I,Intensification
9700,0.836222243,0.88376603,1.29553788,1.074895401,454.3580466,19.01032552,781.3064188,Component I,Intensification
9650,0.988001085,0.905499735,1.327940429,1.093329774,435.2651185,19.77122009,752.999423,Component I,Intensification
9600,1.180500885,0.898743269,1.37089356,1.111571272,438.5133612,19.34234599,757.8406057,Component I,Intensification
9550,1.215995822,0.938394122,1.347574601,1.129605484,440.6646982,19.71222697,761.0412164,Component I,Intensification
9500,0.930243322,0.978629818,1.344511511,1.147418728,443.3597702,19.67648539,765.0443125,Component I,Intensification
9450,0.827022322,0.974537665,1.393521117,1.164998063,441.1513899,19.58142507,761.7646488,Component I,Intensification
9400,1.135357611,1.000153104,1.414194346,1.18233135,438.9230974,19.36271474,758.4505354,Component I,Intensification
9350,1.299993477,0.98820083,1.45033407,1.199407249,442.6307335,19.5083847,763.9621524,Component I,Intensification
9300,1.280997851,0.999732308,1.453838124,1.216215238,400.1576731,19.84226064,700.0035172,Component I,Intensification
9250,1.117901748,1.043313738,1.466870655,1.232745661,436.5431335,19.50793243,754.9054233,Component I,Intensification
9200,0.966008259,1.038330559,1.504588848,1.248989674,421.0379051,19.71620778,731.6717199,Component I,Intensification
9150,0.953507069,1.041083822,1.505059735,1.264939302,419.1381498,19.37027964,728.8085601,Component I,Intensification
9100,0.876626942,1.066731818,1.506024811,1.280587423,426.4403854,19.66891113,739.7941962,Component I,Intensification
9050,0.7950785,1.075508074,1.548957914,1.295927739,408.0319082,19.80851003,711.9976477,Component I,Intensification
9000,1.035079706,1.149652442,1.522945314,1.310954797,449.6269341,19.76022461,774.3255252,Component I,Intensification
8950,1.539231966,1.172369744,1.55892171,1.325663955,414.6998845,19.53026876,722.1054682,Component I,Intensification
8900,1.776644669,1.150720072,1.622513452,1.340051355,434.1630397,19.66557597,751.3545104,Component I,Intensification
8850,1.782576665,1.154541588,1.621082679,1.35411395,441.5693361,19.44201589,762.3857093,Component I,Intensification
8800,1.788953543,1.155743908,1.61796296,1.367849404,427.2007899,19.1757252,740.9351055,Component I,Intensification
8750,1.918559778,1.161744898,1.613834662,1.381256147,446.1133459,19.2564802,769.1269145,Component I,Intensification
8700,2.148381685,1.15864986,1.666376429,1.394333288,400.4514988,19.71937195,700.4522033,Component I,Intensification
8650,2.187625107,1.164110789,1.677032536,1.407080591,426.5532014,19.38007853,739.9635015,Component I,Intensification
8600,1.925005809,1.205249958,1.646051612,1.419498483,444.0072251,19.14368052,766.0049359,Component I,Recession
8550,1.415990656,1.210470255,1.657627195,1.431587964,391.7004501,19.99746857,687.0513329,Component I,Recession
8500,1.063511462,1.17446197,1.660691439,1.44335063,433.0745203,18.98144277,749.728654,Component I,Recession
8450,0.966014364,1.126398826,1.61397604,1.454788585,444.9069545,19.2973234,767.3391714,Component I,Recession
8400,0.851446454,0.9339268,1.43098304,1.465904455,427.1519098,19.5635139,740.8617832,Component II,Expansion
8350,0.595908368,0.427195271,1.460390298,1.148757932,446.8121618,19.65100677,770.1618302,Component II,Expansion
8300,0.903912985,0.640282814,1.653164337,1.146508499,428.2532484,19.51521647,742.5132618,Component II,Expansion
8250,1.007438725,0.624548399,1.781929429,1.151290676,400.7559862,19.70697306,700.9170781,Component II,Expansion
8200,0.977949337,0.653509089,1.734183959,1.156513838,441.0589343,19.31319631,761.6272381,Component II,Expansion
8150,0.918867955,0.721337927,1.650549069,1.162217577,441.481627,19.46266764,762.2553895,Component II,Expansion
8100,0.906704167,0.638771428,1.837305849,1.168444837,439.8786503,19.4159434,759.8723186,Component II,Expansion
8050,0.930835353,0.649172796,1.826656605,1.175242158,444.862131,19.24316945,767.2727201,Component II,Expansion
8000,1.170094715,0.750904199,1.664766522,1.182659903,397.7256671,19.98284536,696.2863628,Component II,Expansion
7950,1.194935778,0.749272942,1.676045648,1.190752547,387.9695201,20.10393127,681.314275,Component II,Expansion
7900,0.915920459,0.743895621,1.729833434,1.199578938,390.5732527,19.84585724,685.3195374,Component II,Expansion
7850,0.858082914,0.701242402,1.805304179,1.209202555,389.5528835,19.87792023,683.7507518,Component II,Expansion
7800,0.927286915,0.706066559,1.815960928,1.219691773,432.2386466,19.6430249,748.4793614,Component II,Expansion
7750,0.942398009,0.709514239,1.843727859,1.231120154,418.4791266,20.10316549,727.8144887,Component II,Expansion
7700,0.871320552,0.737669079,1.84785888,1.24356668,429.803856,19.62338938,744.8363818,Component II,Expansion
7650,0.732595632,0.802967777,1.813874454,1.257115994,423.4156359,19.71033264,735.2501611,Component II,Expansion
7600,0.667567353,0.778348567,1.898735596,1.271858641,399.5730351,19.65274475,699.1104861,Component II,Expansion
7550,0.907456676,0.838539003,1.826445105,1.287891245,420.5053164,19.9602121,730.869409,Component II,Expansion
7500,1.213687021,0.80313321,1.909334691,1.305316631,403.9317457,19.48154836,705.7600561,Component II,Expansion
7450,1.412370016,0.765250288,1.896840398,1.324243969,422.4969637,19.42759237,733.868246,Component II,Expansion
7400,1.561066281,0.836892331,1.801722101,1.344788748,406.578256,19.87619771,709.7881443,Component II,Expansion
7350,1.612368497,0.770038482,1.950694852,1.367072755,395.9959566,19.7834137,693.6389637,Component II,Expansion
7300,1.669055593,0.809803286,1.938068651,1.391223912,415.5297758,19.67689331,723.3603512,Component II,Expansion
7250,1.912017069,0.906125959,1.981057477,1.417375987,406.4270076,19.75577108,709.5581292,Component II,Expansion
7200,2.168081743,0.919291689,2.070546793,1.445668201,413.9943803,19.81263509,721.0381276,Component II,Expansion
7150,2.053727899,1.023866636,2.01286165,1.476244647,412.9024197,19.90971324,719.3851401,Component II,Expansion
7100,1.758585796,1.005357645,2.119782549,1.509253517,426.8397688,19.64555044,740.393502,Component II,Expansion
7050,1.623865945,0.953771092,2.203563997,1.544846151,448.0239716,19.68590007,771.9553294,Component II,Expansion
7000,1.730588242,0.981052823,2.22422153,1.583175824,428.6474579,19.68517161,743.1040932,Component II,Expansion
6950,2.124630832,1.032555465,2.331388962,1.62439631,462.4366281,19.64580068,793.1760226,Component II,Expansion
6900,2.45774711,1.045199149,2.386775134,1.668660152,415.0321191,19.52599314,722.6079249,Component II,Expansion
6850,2.335109021,1.084420922,2.40966608,1.716116665,423.9933382,19.71434631,736.1187397,Component II,Expansion
6800,2.103282794,1.112547821,2.47046212,1.766909617,430.8285103,19.50550161,746.3702067,Component II,Expansion
6750,2.143475468,1.209403618,2.492002308,1.821174671,407.3236958,19.88131765,710.9214546,Component II,Expansion
6700,2.331989134,1.269021005,2.630079962,1.87903651,393.4249893,19.86285339,689.6983607,Component II,Expansion
6650,2.3470665,1.367976614,2.672980402,1.940605688,406.1546651,19.80792287,709.1438988,Component II,Expansion
6600,2.220015857,1.409519633,2.841130802,2.005975338,400.7113208,19.80950043,700.8488912,Component II,Expansion
6550,2.236666619,1.353765037,2.980869656,2.075217633,377.7121167,20.22231944,665.467999,Component II,Expansion
6500,2.439268393,1.426007036,3.02942247,2.148380236,406.7338047,19.82804321,710.0246751,Component II,Expansion
6450,2.726631037,1.55537919,3.070547968,2.225482722,420.4501572,19.66059102,730.7862989,Component II,Expansion
6400,2.691895901,1.676869579,3.142339247,2.306513103,456.3461607,19.78643005,784.233401,Component II,Expansion
6350,2.348727401,1.707721111,3.233987036,2.391424651,402.5525479,19.78310089,703.6580579,Component II,Expansion
6300,2.137277395,1.829477751,3.258758958,2.480133032,411.7729856,19.92362783,717.6741647,Component II,Expansion
6250,2.225143786,2.000583129,3.32515588,2.572514057,412.6712688,19.58632273,719.0350749,Component II,Expansion
6200,2.44422321,2.039082682,3.585976216,2.668402007,422.4632629,19.7316747,733.8175355,Component II,Expansion
6150,2.675007033,2.196668467,3.7032612,2.767588852,457.4863652,19.66634562,785.9103137,Component II,Expansion
6100,2.793393076,2.218766369,3.89240725,2.869824346,419.5227565,20.17417491,729.3885003,Component II,Expansion
6050,2.815968856,2.194558573,3.916282161,2.974817179,441.4298791,19.68880839,762.1784979,Component II,Expansion
6000,2.807130076,2.270346958,3.894589036,3.0822372,437.5997209,20.03975128,756.4799709,Component II,Expansion
5950,2.743135017,2.413593309,4.022916292,3.191718683,434.4776807,20.03747691,751.824252,Component II,Expansion
5900,3.056506394,2.649354516,4.155101077,3.302864763,417.6947124,20.08829498,726.6307103,Component II,Expansion
5850,3.28536957,2.695744697,4.509655882,3.415252728,416.2749379,20.02903015,724.4865258,Component II,Expansion
5800,3.279880218,2.605332287,4.715896836,3.528440202,445.2076145,19.965495,767.7848513,Component II,Expansion
5750,3.29177795,2.664021485,4.640842574,3.641972006,431.6005864,19.78387787,747.5252531,Component II,Intensification
5700,3.314866616,2.857237991,4.712692646,3.755387366,437.5413432,19.72110748,756.3930041,Component II,Intensification
5650,3.637331442,2.931810662,4.949830998,3.868227405,423.5553371,19.96154083,735.4602332,Component II,Intensification
5600,4.036177399,3.118195827,4.932896655,3.980042522,434.9214243,19.87200816,752.4865699,Component II,Intensification
